dir,entry_time,entry,sl,risk,exit_time,exit,r,outcome,full_sl
Long,2025-04-01 04:00:00,3129.59,3125.7240663537086,3.8659336462916123,2025-04-01 04:45:00,3137.321867292583,1.9508527519135164,TP4,False
Long,2025-04-01 05:25:00,3142.44,3137.2378417256828,5.2021582743172265,2025-04-01 08:50:00,3137.2378417256828,-1.034601023365383,SL,True
Short,2025-04-01 08:50:00,3134.4,3139.7614673738717,5.3614673738715295,2025-04-01 18:40:00,3123.677065252257,1.9757529066327326,TP4,False
Short,2025-04-01 18:40:00,3121.18,3128.0363199128838,6.85631991288383,2025-04-01 19:10:00,3107.467360174232,1.9868734246442175,TP4,False
Long,2025-04-02 04:05:00,3128.45,3123.861047358443,4.588952641556692,2025-04-02 05:55:00,3128.59,-0.015254025366434547,REV,False
Short,2025-04-02 05:55:00,3128.59,3133.119321270237,4.529321270236832,2025-04-02 07:35:00,3119.5313574595266,1.953635437304908,TP4,False
Short,2025-04-02 09:50:00,3117.44,3122.2169614100585,4.776961410058375,2025-04-02 10:45:00,3122.2169614100585,-1.0439609998853867,SL,True
Long,2025-04-02 10:45:00,3122.39,3117.410207774221,4.979792225778772,2025-04-02 11:30:00,3132.3495844515573,1.9799188408941237,TP4,False
Short,2025-04-03 13:15:00,3113.33,3122.103407904217,8.77340790421692,2025-04-03 13:55:00,3095.7831841915663,1.978343649118503,TP4,False
Long,2025-04-03 17:00:00,3099.16,3083.4453505414126,15.714649458587434,2025-04-03 17:45:00,3130.589298917175,1.9917274642146803,TP4,False
Short,2025-04-04 05:45:00,3094.98,3102.892616849654,7.912616849653897,2025-04-04 07:35:00,3102.892616849654,-1.0240122836237833,SL,True
Long,2025-04-04 07:40:00,3104.29,3097.7483184857506,6.541681514249301,2025-04-04 10:00:00,3097.7483184857506,-1.018343907409538,SL,True
Short,2025-04-04 11:00:00,3091.05,3098.1225086193226,7.072508619322454,2025-04-04 13:05:00,3098.1225086193226,-1.0197949564341984,SL,True
Long,2025-04-04 14:05:00,3128.17,3115.7135554838046,12.45644451619548,2025-04-04 14:35:00,3115.7135554838046,-1.0080279729797668,SL,True
Short,2025-04-04 17:00:00,3056.16,3073.7515734669755,17.59157346697547,2025-04-04 18:35:00,3020.976853066049,1.9891993743278988,TP4,False
Short,2025-04-04 18:40:00,3017.99,3037.881235148782,19.891235148781856,2025-04-04 22:45:00,3037.881235148782,-1.0045246059044086,SL,True
Short,2025-04-07 02:20:00,2991.26,3009.3797539527254,18.11975395272512,2025-04-07 03:00:00,3009.3797539527254,-1.0259385420589222,SL,True
Long,2025-04-07 04:10:00,3006.14,2981.8667341914984,24.27326580850139,2025-04-07 04:45:00,3054.686531617003,1.9917604824345576,TP4,False
Short,2025-04-07 17:35:00,2998.08,3015.8081487895765,17.72814878957673,2025-04-07 20:05:00,2962.6237024208463,1.9881544315488113,TP4,False
Long,2025-04-08 04:00:00,2990.53,2983.8496457516485,6.680354248351649,2025-04-08 05:05:00,3003.8907084967036,1.9685645413113075,TP4,False
Short,2025-04-08 06:10:00,2995.24,3001.888988428115,6.648988428115388,2025-04-08 07:55:00,3001.888988428115,-1.0315837517647146,SL,True
Short,2025-04-08 10:40:00,3003.14,3010.402314659781,7.2623146597809685,2025-04-08 14:00:00,3010.402314659781,-1.0165236574868843,SL,True
Long,2025-04-09 09:15:00,3025.63,3016.374990667002,9.255009332998423,2025-04-09 10:05:00,3044.140018665997,1.9805510730974558,TP4,False
Long,2025-04-09 14:35:00,3063.76,3053.1590146568665,10.600985343133825,2025-04-09 15:20:00,3053.1590146568665,-1.0235827134844442,SL,True
Long,2025-04-09 16:35:00,3075.95,3063.2232537902128,12.726746209787247,2025-04-09 20:20:00,3072.51,-0.28994056604679364,REV,False
Short,2025-04-09 20:20:00,3072.51,3085.0774307790794,12.5674307790791,2025-04-09 22:05:00,3085.0774307790794,-1.019892689635196,SL,True
Long,2025-04-10 05:05:00,3111.8,3100.0449846204824,11.755015379517829,2025-04-10 16:20:00,3135.3100307590357,1.9923436935559495,TP4,False
Long,2025-04-10 16:20:00,3134.85,3125.007363498049,9.84263650195101,2025-04-10 16:30:00,3125.007363498049,-1.024383710599524,SL,True
Long,2025-04-10 18:35:00,3174.52,3162.4207511237855,12.09924887621465,2025-04-10 18:55:00,3162.4207511237855,-1.0173564493257627,SL,True
Long,2025-04-11 03:20:00,3198.87,3191.6681222064503,7.201877793549555,2025-04-11 03:40:00,3213.273755587099,1.970840938152535,TP4,False
Long,2025-04-11 16:30:00,3240.19,3229.0467024019945,11.143297598005761,2025-04-11 16:45:00,3229.0467024019945,-1.0161532076494149,SL,True
Long,2025-04-11 17:40:00,3230.52,3217.1551347066206,13.36486529337926,2025-04-14 01:00:00,3217.1551347066206,-1.0157128407500018,SL,True
Long,2025-04-14 02:55:00,3223.73,3216.717486520076,7.012513479924076,2025-04-14 04:00:00,3216.717486520076,-1.0299464664989575,SL,True
Short,2025-04-14 13:20:00,3207.37,3214.965198413303,7.595198413302911,2025-04-14 13:50:00,3214.965198413303,-1.0289656685748703,SL,True
Short,2025-04-14 16:10:00,3196.47,3206.5637125048006,10.0937125048009,2025-04-14 16:40:00,3206.5637125048006,-1.0198143150901888,SL,True
Long,2025-04-14 17:45:00,3213.99,3203.902196456208,10.087803543791612,2025-04-14 18:35:00,3203.902196456208,-1.0178433292459332,SL,True
Long,2025-04-15 06:00:00,3225.86,3220.774072703522,5.0859272964779265,2025-04-15 10:20:00,3220.774072703522,-1.0176958880364797,SL,True
Long,2025-04-16 01:50:00,3240.73,3236.5375411835475,4.192458816452253,2025-04-16 02:55:00,3249.1149176329045,1.9475248274027923,TP4,False
Long,2025-04-16 02:55:00,3251.82,3245.8509023367933,5.969097663207017,2025-04-16 03:30:00,3263.7581953264144,1.9631435080454611,TP4,False
Long,2025-04-16 10:10:00,3297.09,3289.7279336755846,7.3620663244153155,2025-04-16 11:15:00,3311.8141326488308,1.975550342516874,TP4,False
Long,2025-04-16 11:45:00,3302.24,3290.0016466879893,12.238353312010613,2025-04-16 18:50:00,3326.716706624021,1.9820237253827069,TP4,False
Short,2025-04-17 03:00:00,3346.09,3351.4577577940377,5.367757794037332,2025-04-17 04:10:00,3351.4577577940377,-1.0279446289783807,SL,True
Long,2025-04-17 04:15:00,3356.26,3348.7472746152707,7.51272538472963,2025-04-17 04:25:00,3348.7472746152707,-1.0292836472429878,SL,True
Short,2025-04-17 10:05:00,3324.23,3331.373512387589,7.143512387589121,2025-04-17 13:25:00,3331.373512387589,-1.0195982021733605,SL,True
Short,2025-04-17 17:30:00,3293.03,3305.7394236109826,12.709423610982196,2025-04-17 19:20:00,3305.7394236109826,-1.01101544840155,SL,True
Long,2025-04-21 03:30:00,3358.72,3351.2594119285177,7.460588071481985,2025-04-21 04:00:00,3373.6411761429636,1.9705117079387937,TP4,False
Long,2025-04-21 14:40:00,3403.44,3397.0282152964855,6.411784703514706,2025-04-21 16:00:00,3416.2635694070295,1.9828440902047706,TP4,False
Long,2025-04-21 17:55:00,3416.72,3405.347323224506,11.372676775493897,2025-04-22 02:15:00,3439.4653535509874,1.9912069953297473,TP4,False
Long,2025-04-22 02:15:00,3440.82,3434.63705254502,6.182947454980014,2025-04-22 02:50:00,3434.63705254502,-1.0355817353457784,SL,True
Short,2025-04-22 03:00:00,3418.9,3428.9008141278537,10.00081412785342,2025-04-22 03:20:00,3428.9008141278537,-1.0219982090645428,SL,True
Long,2025-04-22 04:30:00,3444.7,3433.934376746137,10.765623253863092,2025-04-22 05:40:00,3466.231246507726,1.979564583042519,TP4,False
Long,2025-04-22 05:40:00,3468.19,3456.862521668683,11.327478331317057,2025-04-22 06:30:00,3490.844956662634,1.9788125836147896,TP4,False
Long,2025-04-22 09:40:00,3485.68,3473.923212348536,11.756787651463974,2025-04-22 10:05:00,3473.923212348536,-1.0136091596398051,SL,True
Short,2025-04-22 11:35:00,3456.81,3467.679600288264,10.869600288264046,2025-04-22 13:05:00,3467.679600288264,-1.020239934695425,SL,True
Short,2025-04-22 16:40:00,3411.76,3429.187560150303,17.427560150302796,2025-04-22 16:50:00,3429.187560150303,-1.0103284681531741,SL,True
Short,2025-04-22 18:25:00,3412.65,3427.6350653202985,14.985065320298371,2025-04-22 18:40:00,3427.6350653202985,-1.014681284018298,SL,True
Short,2025-04-22 19:15:00,3400.62,3417.8249710614946,17.20497106149474,2025-04-23 01:00:00,3366.2100578770105,1.9872129979635673,TP4,False
Short,2025-04-23 01:00:00,3325.11,3342.4636195242933,17.353619524293244,2025-04-23 01:10:00,3342.4636195242933,-1.002304994640684,SL,True
Short,2025-04-23 09:00:00,3310.36,3323.4477596797433,13.087759679743215,2025-04-23 09:15:00,3323.4477596797433,-1.0137533087712896,SL,True
Short,2025-04-23 09:50:00,3299.22,3313.7180525714216,14.498052571421972,2025-04-23 10:40:00,3313.7180525714216,-1.0124154605670717,SL,True
Short,2025-04-23 16:15:00,3300.53,3312.1561294811318,11.626129481131368,2025-04-23 16:50:00,3277.2777410377375,1.9802169758754746,TP4,False
Short,2025-04-23 17:00:00,3265.54,3283.4707197842667,17.930719784266966,2025-04-23 17:20:00,3283.4707197842667,-1.0061347230520181,SL,True
Short,2025-04-23 17:50:00,3291.74,3310.0794303677653,18.339430367765512,2025-04-24 01:05:00,3310.0794303677653,-1.0119960105405845,SL,True
Long,2025-04-24 04:15:00,3354.36,3343.232264227394,11.127735772606199,2025-04-24 05:35:00,3343.232264227394,-1.01977041911272,SL,True
Short,2025-04-24 05:40:00,3341.63,3354.347373827311,12.717373827310958,2025-04-24 09:15:00,3316.1952523453783,1.9827008309272414,TP4,False
Long,2025-04-25 01:10:00,3353.72,3344.4814383981084,9.23856160189126,2025-04-25 04:50:00,3344.4814383981084,-1.0097417762502932,SL,True
Short,2025-04-25 16:15:00,3277.02,3288.925854184053,11.905854184052997,2025-04-25 20:15:00,3288.925854184053,-1.016798458716894,SL,True
Long,2025-04-28 01:00:00,3326.27,3318.1518623816187,8.118137618381352,2025-04-28 01:20:00,3318.1518623816187,-1.0172453346544599,SL,True
Long,2025-04-28 03:45:00,3312.54,3303.4400236750157,9.099976324984066,2025-04-28 04:15:00,3303.4400236750157,-1.024175887073044,SL,True
Long,2025-04-28 06:20:00,3292.84,3282.367005141494,10.472994858506313,2025-04-28 09:55:00,3282.367005141494,-1.0210064077154926,SL,True
Short,2025-04-28 10:00:00,3280.24,3288.380812066178,8.140812066178183,2025-04-28 10:35:00,3288.380812066178,-1.0122837868245835,SL,True
Short,2025-04-28 10:55:00,3287.47,3296.357707925281,8.887707925281187,2025-04-28 14:45:00,3296.357707925281,-1.0247532886824668,SL,True
Long,2025-04-28 16:05:00,3295.19,3288.1782737387716,7.0117262612283255,2025-04-28 16:45:00,3288.1782737387716,-1.0313760109570458,SL,True
Long,2025-04-28 17:15:00,3307.3,3298.6703257639892,8.629674236010946,2025-04-28 17:35:00,3324.559348472022,1.9745065695432669,TP4,False
Short,2025-04-29 03:50:00,3329.21,3335.4353335191736,6.225333519173695,2025-04-29 04:35:00,3335.4353335191736,-1.0353394720655948,SL,True
Short,2025-04-29 04:40:00,3330.11,3338.4738137387194,8.363813738719282,2025-04-29 06:10:00,3313.3823725225616,1.9736962100218047,TP4,False
Short,2025-04-29 13:15:00,3307.34,3313.727396979797,6.387396979796828,2025-04-29 13:45:00,3313.727396979797,-1.0203525787439331,SL,True
Short,2025-04-29 15:00:00,3306.8,3312.859420414432,6.059420414431991,2025-04-29 15:50:00,3312.859420414432,-1.0148529056979478,SL,True
Long,2025-04-30 14:25:00,3280.45,3273.176313194556,7.273686805444049,2025-04-30 14:55:00,3273.176313194556,-1.0302460094700872,SL,True
